"가구구분코드","가구원수","세대구분코드","가구주_성별코드","가구주_연령","가구원2_성별코드","가구원2_연령","가구원3_성별코드","가구원3_연령","가구원4_성별코드","가구원4_연령","가구원5_성별코드","가구원5_연령","가구원6_성별코드","가구원6_연령","가구원7_성별코드","가구원7_연령","가구원8_성별코드","가구원8_연령","가구원9_성별코드","가구원9_연령","거처구분코드","소득구간코드","가계지출금액","가계지출_소비지출금액","가구일련번호"
1,1,1,1,24,,,,,,,,,,,,,,,,,1,2,1105023,1105023,04559
1,1,1,1,24,,,,,,,,,,,,,,,,,1,2,1190107,1169822,09066
1,1,1,1,24,,,,,,,,,,,,,,,,,1,2,1236561,1099561,11827
1,1,1,1,24,,,,,,,,,,,,,,,,,1,2,1366122,1286562,04761
1,1,1,1,24,,,,,,,,,,,,,,,,,1,2,1603445,1497089,01722
1,1,1,1,24,,,,,,,,,,,,,,,,,1,2,2137339,1770199,04643
1,1,1,1,24,,,,,,,,,,,,,,,,,1,3,1580279,1303119,10627
1,1,1,1,24,,,,,,,,,,,,,,,,,1,3,1817384,1622975,04422
1,1,1,1,24,,,,,,,,,,,,,,,,,1,3,2455421,2422087,04493
1,1,1,1,24,,,,,,,,,,,,,,,,,1,4,1907449,1332779,04558
1,1,1,1,24,,,,,,,,,,,,,,,,,1,4,2658050,2051080,09064
1,1,1,1,24,,,,,,,,,,,,,,,,,1,4,2854549,2533456,06994
1,1,1,1,24,,,,,,,,,,,,,,,,,1,6,3226027,2072528,09796
1,1,1,1,24,,,,,,,,,,,,,,,,,1,8,4232939,2544265,11412
1,1,1,1,24,,,,,,,,,,,,,,,,,2,2,2620570,2520570,09129
1,1,1,1,24,,,,,,,,,,,,,,,,,4,2,1472549,1304836,00615
1,1,1,1,24,,,,,,,,,,,,,,,,,4,2,1513865,1513865,04490
1,1,1,1,24,,,,,,,,,,,,,,,,,4,2,1546347,1546347,01825
1,1,1,1,24,,,,,,,,,,,,,,,,,6,2,1765849,1715849,00549
1,1,1,1,24,,,,,,,,,,,,,,,,,6,3,2233970,1993640,13235
1,1,1,1,24,,,,,,,,,,,,,,,,,6,6,3470704,2487835,12131
1,1,1,1,24,,,,,,,,,,,,,,,,,6,8,3244980,1939269,09274
1,1,1,1,25,,,,,,,,,,,,,,,,,1,2,1839986,1698406,04759
1,1,1,1,25,,,,,,,,,,,,,,,,,1,2,661190,576700,06326
1,1,1,1,25,,,,,,,,,,,,,,,,,1,2,982070,977070,09451
1,1,1,1,25,,,,,,,,,,,,,,,,,1,3,1928458,1586838,04833
1,1,1,1,25,,,,,,,,,,,,,,,,,1,3,2110347,1752416,09183
1,1,1,1,25,,,,,,,,,,,,,,,,,1,3,2355750,2016410,13284
1,1,1,1,25,,,,,,,,,,,,,,,,,1,3,2595744,2311334,06848
1,1,1,1,25,,,,,,,,,,,,,,,,,1,4,2755785,2105830,09018
1,1,1,1,25,,,,,,,,,,,,,,,,,1,5,2702782,2128832,12902
1,1,1,1,25,,,,,,,,,,,,,,,,,1,5,3080558,2105213,09051
1,1,1,1,25,,,,,,,,,,,,,,,,,1,8,5746783,3936239,09450
1,1,1,1,25,,,,,,,,,,,,,,,,,2,3,2059379,2020879,09135
1,1,1,1,25,,,,,,,,,,,,,,,,,2,5,3702978,2825708,09808
1,1,1,1,25,,,,,,,,,,,,,,,,,4,3,2258733,1021699,04536
1,1,1,1,25,,,,,,,,,,,,,,,,,4,4,1190570,1043070,00084
1,1,1,1,25,,,,,,,,,,,,,,,,,4,6,2901021,2206449,07104
1,1,1,1,25,,,,,,,,,,,,,,,,,6,2,945375,679341,02519
1,1,1,1,25,,,,,,,,,,,,,,,,,6,3,1748610,1378083,09107
1,1,1,1,25,,,,,,,,,,,,,,,,,6,3,1851366,1664133,04025
1,1,1,1,25,,,,,,,,,,,,,,,,,6,4,2321177,2043507,07009
1,1,1,1,25,,,,,,,,,,,,,,,,,6,4,2832373,2457693,03165
1,1,1,1,25,,,,,,,,,,,,,,,,,6,5,4278105,3515170,00783
1,1,1,1,26,,,,,,,,,,,,,,,,,1,1,779939,724939,04361
1,1,1,1,26,,,,,,,,,,,,,,,,,1,1,838240,838240,09227
1,1,1,1,26,,,,,,,,,,,,,,,,,1,2,1769922,1769922,05143
1,1,1,1,26,,,,,,,,,,,,,,,,,1,2,2153810,2094410,04762
1,1,1,1,26,,,,,,,,,,,,,,,,,1,2,4351383,3944373,00255
1,1,1,1,26,,,,,,,,,,,,,,,,,1,3,1212173,938763,00208
1,1,1,1,26,,,,,,,,,,,,,,,,,1,3,1415571,1100036,11891
1,1,1,1,26,,,,,,,,,,,,,,,,,1,3,1692071,1273858,06066
1,1,1,1,26,,,,,,,,,,,,,,,,,1,3,2094549,1831335,05142
1,1,1,1,26,,,,,,,,,,,,,,,,,1,3,2649045,2370375,04831
1,1,1,1,26,,,,,,,,,,,,,,,,,1,3,2982957,2710248,06365
1,1,1,1,26,,,,,,,,,,,,,,,,,1,4,2047552,1244928,06366
1,1,1,1,26,,,,,,,,,,,,,,,,,1,4,2221944,1552034,10263
1,1,1,1,26,,,,,,,,,,,,,,,,,1,4,2395214,2076248,07706
1,1,1,1,26,,,,,,,,,,,,,,,,,1,4,2410651,1960684,12111
1,1,1,1,26,,,,,,,,,,,,,,,,,1,4,2492199,2168729,01011
1,1,1,1,26,,,,,,,,,,,,,,,,,1,4,2564275,2184274,12028
1,1,1,1,26,,,,,,,,,,,,,,,,,1,4,2759805,2188924,08847
1,1,1,1,26,,,,,,,,,,,,,,,,,1,4,4006913,3020242,11411
1,1,1,1,26,,,,,,,,,,,,,,,,,1,5,1990606,1017434,09889
1,1,1,1,26,,,,,,,,,,,,,,,,,1,5,3267260,2646910,12387
1,1,1,1,26,,,,,,,,,,,,,,,,,1,6,3484383,2911956,05077
1,1,1,1,26,,,,,,,,,,,,,,,,,2,4,2180199,1683804,02168
1,1,1,1,26,,,,,,,,,,,,,,,,,2,4,2851535,2451932,00941
1,1,1,1,26,,,,,,,,,,,,,,,,,2,5,2052097,1521930,04650
1,1,1,1,26,,,,,,,,,,,,,,,,,2,5,4397597,3939403,07855
1,1,1,1,26,,,,,,,,,,,,,,,,,2,8,4009697,2224842,09131
1,1,1,1,26,,,,,,,,,,,,,,,,,4,5,1876399,1075209,01070
1,1,1,1,26,,,,,,,,,,,,,,,,,6,3,1720476,1341756,10584
1,1,1,1,26,,,,,,,,,,,,,,,,,6,3,2070148,1566266,00078
1,1,1,1,26,,,,,,,,,,,,,,,,,6,4,2175990,2077740,00127
1,1,1,1,26,,,,,,,,,,,,,,,,,6,6,3127725,2095459,12108
1,1,1,1,26,,,,,,,,,,,,,,,,,6,7,3753055,2298898,06882
1,1,1,1,27,,,,,,,,,,,,,,,,,1,1,2835428,2762313,04634
1,1,1,1,27,,,,,,,,,,,,,,,,,1,3,1598601,1251751,09140
1,1,1,1,27,,,,,,,,,,,,,,,,,1,3,1629635,1212865,09025
1,1,1,1,27,,,,,,,,,,,,,,,,,1,3,1664347,1393699,04427
1,1,1,1,27,,,,,,,,,,,,,,,,,1,3,2262494,1949786,08952
1,1,1,1,27,,,,,,,,,,,,,,,,,1,4,1854357,1380943,00138
1,1,1,1,27,,,,,,,,,,,,,,,,,1,4,1961363,1395511,09021
1,1,1,1,27,,,,,,,,,,,,,,,,,1,4,2782494,2191407,09260
1,1,1,1,27,,,,,,,,,,,,,,,,,1,4,3002491,2627444,06200
1,1,1,1,27,,,,,,,,,,,,,,,,,1,5,2391405,1827537,00136
1,1,1,1,27,,,,,,,,,,,,,,,,,1,5,3123885,1861732,07295
1,1,1,1,27,,,,,,,,,,,,,,,,,1,5,3130432,2119302,05041
1,1,1,1,27,,,,,,,,,,,,,,,,,1,5,8911343,7672994,09441
1,1,1,1,27,,,,,,,,,,,,,,,,,1,6,3162208,2419078,05144
1,1,1,1,27,,,,,,,,,,,,,,,,,1,8,3382462,1533802,06533
1,1,1,1,27,,,,,,,,,,,,,,,,,2,2,2426132,2155235,10540
1,1,1,1,27,,,,,,,,,,,,,,,,,2,4,1943994,1408951,10273
1,1,1,1,27,,,,,,,,,,,,,,,,,2,4,1969342,1510752,02347
1,1,1,1,27,,,,,,,,,,,,,,,,,2,4,2095097,1362935,06719
1,1,1,1,27,,,,,,,,,,,,,,,,,2,4,2559817,1981470,03406
1,1,1,1,27,,,,,,,,,,,,,,,,,2,6,3336824,2352081,05662
1,1,1,1,27,,,,,,,,,,,,,,,,,2,7,4236447,2490630,05728
1,1,1,1,27,,,,,,,,,,,,,,,,,4,3,3217850,2258049,00688
1,1,1,1,27,,,,,,,,,,,,,,,,,6,2,2179398,2062732,00548
1,1,1,1,27,,,,,,,,,,,,,,,,,6,4,2117854,1317893,02020
1,1,1,1,27,,,,,,,,,,,,,,,,,6,4,2162833,1723483,08617
1,1,1,1,27,,,,,,,,,,,,,,,,,6,4,2618507,2438822,10769
1,1,1,1,27,,,,,,,,,,,,,,,,,6,5,2221309,1378869,01063
1,1,1,1,27,,,,,,,,,,,,,,,,,6,7,3541033,2058717,06227
1,1,1,1,28,,,,,,,,,,,,,,,,,1,2,2411890,2352490,04760
1,1,1,1,28,,,,,,,,,,,,,,,,,1,3,1291524,927339,09797
1,1,1,1,28,,,,,,,,,,,,,,,,,1,3,1666085,1373931,00673
1,1,1,1,28,,,,,,,,,,,,,,,,,1,3,1798249,1569923,09138
1,1,1,1,28,,,,,,,,,,,,,,,,,1,3,2014597,1391522,08354
1,1,1,1,28,,,,,,,,,,,,,,,,,1,3,2344799,1756544,02027
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,1610623,988416,02333
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,1658625,1273005,11886
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,1842649,1829745,12030
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,2007355,1523002,00575
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,2172502,2154245,13418
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,2194720,1635800,00608
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,2470950,1755655,06183
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,2484496,1840116,08739
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,2537114,2103509,07691
1,1,1,1,28,,,,,,,,,,,,,,,,,1,4,3155354,2521095,08539
1,1,1,1,28,,,,,,,,,,,,,,,,,1,5,1774485,1014990,12031
1,1,1,1,28,,,,,,,,,,,,,,,,,1,5,3561189,2960355,04823
1,1,1,1,28,,,,,,,,,,,,,,,,,1,5,3734432,3322372,08535
1,1,1,1,28,,,,,,,,,,,,,,,,,1,5,4164578,3246595,05507
1,1,1,1,28,,,,,,,,,,,,,,,,,1,6,16265577,14826697,12391
1,1,1,1,28,,,,,,,,,,,,,,,,,1,6,2898897,1960596,04733
1,1,1,1,28,,,,,,,,,,,,,,,,,1,6,2963199,1703249,09258
1,1,1,1,28,,,,,,,,,,,,,,,,,1,6,3546624,1827106,00137
1,1,1,1,28,,,,,,,,,,,,,,,,,1,6,3794815,2084900,05338
1,1,1,1,28,,,,,,,,,,,,,,,,,1,6,4397359,3629195,07647
1,1,1,1,28,,,,,,,,,,,,,,,,,1,6,4976309,3895879,05989
1,1,1,1,28,,,,,,,,,,,,,,,,,1,7,3989900,2213943,02710
1,1,1,1,28,,,,,,,,,,,,,,,,,2,3,1320420,749490,06538
1,1,1,1,28,,,,,,,,,,,,,,,,,2,3,1646768,1325283,05703
1,1,1,1,28,,,,,,,,,,,,,,,,,2,3,1861166,1222366,05704
1,1,1,1,28,,,,,,,,,,,,,,,,,2,4,1631353,1244943,04505
1,1,1,1,28,,,,,,,,,,,,,,,,,2,4,2147682,1722229,00498
1,1,1,1,28,,,,,,,,,,,,,,,,,2,4,2835627,2276437,06540
1,1,1,1,28,,,,,,,,,,,,,,,,,2,5,2493540,1978660,11570
1,1,1,1,28,,,,,,,,,,,,,,,,,2,5,3645150,2436246,11354
1,1,1,1,28,,,,,,,,,,,,,,,,,2,6,2320224,1559684,07637
1,1,1,1,28,,,,,,,,,,,,,,,,,2,6,2533739,2324179,05884
1,1,1,1,28,,,,,,,,,,,,,,,,,2,6,3419033,2389488,05708
1,1,1,1,28,,,,,,,,,,,,,,,,,2,8,3972893,2383043,05516
1,1,1,1,28,,,,,,,,,,,,,,,,,4,3,1674131,1227587,01450
1,1,1,1,28,,,,,,,,,,,,,,,,,4,3,2887124,2465283,04487
1,1,1,1,28,,,,,,,,,,,,,,,,,4,3,866375,586495,13256
1,1,1,1,28,,,,,,,,,,,,,,,,,4,5,2516170,1520513,00802
1,1,1,1,28,,,,,,,,,,,,,,,,,4,5,2576340,1339636,01445
1,1,1,1,28,,,,,,,,,,,,,,,,,6,2,2451999,1901945,01059
1,1,1,1,28,,,,,,,,,,,,,,,,,6,2,3499094,3444094,02141
1,1,1,1,28,,,,,,,,,,,,,,,,,6,3,1082568,762666,00111
1,1,1,1,28,,,,,,,,,,,,,,,,,6,3,2205962,1819427,02514
1,1,1,1,28,,,,,,,,,,,,,,,,,6,3,2343625,1535875,00993
1,1,1,1,28,,,,,,,,,,,,,,,,,6,3,3024217,2653777,07012
1,1,1,1,28,,,,,,,,,,,,,,,,,6,3,3066530,3063949,04959
1,1,1,1,28,,,,,,,,,,,,,,,,,6,5,2631614,1905771,00786
1,1,1,1,28,,,,,,,,,,,,,,,,,6,7,3038438,1505660,00937
1,1,1,1,29,,,,,,,,,,,,,,,,,1,3,1564970,1288403,11646
1,1,1,1,29,,,,,,,,,,,,,,,,,1,3,1626011,1291058,04436
1,1,1,1,29,,,,,,,,,,,,,,,,,1,3,1723900,1231690,01207
1,1,1,1,29,,,,,,,,,,,,,,,,,1,3,2017799,1705038,04828
1,1,1,1,29,,,,,,,,,,,,,,,,,1,3,2663513,2321239,04652
1,1,1,1,29,,,,,,,,,,,,,,,,,1,4,1633864,1086534,05174
1,1,1,1,29,,,,,,,,,,,,,,,,,1,4,1663487,1043097,09261
1,1,1,1,29,,,,,,,,,,,,,,,,,1,4,2320595,1714552,04081
1,1,1,1,29,,,,,,,,,,,,,,,,,1,4,2468467,1544470,08949
1,1,1,1,29,,,,,,,,,,,,,,,,,1,4,2998128,2209568,02732
1,1,1,1,29,,,,,,,,,,,,,,,,,1,4,3110546,2472206,06992
1,1,1,1,29,,,,,,,,,,,,,,,,,1,5,2331777,1764819,06199
1,1,1,1,29,,,,,,,,,,,,,,,,,1,5,2631570,2135960,08846
1,1,1,1,29,,,,,,,,,,,,,,,,,1,5,2662380,2297311,08476
1,1,1,1,29,,,,,,,,,,,,,,,,,1,5,4287509,3469294,09453
1,1,1,1,29,,,,,,,,,,,,,,,,,1,6,3081619,2526154,12027
1,1,1,1,29,,,,,,,,,,,,,,,,,1,6,4638653,3077021,09886
1,1,1,1,29,,,,,,,,,,,,,,,,,1,7,2948070,1692430,08538
1,1,1,1,29,,,,,,,,,,,,,,,,,1,8,2849327,1275262,00053
1,1,1,1,29,,,,,,,,,,,,,,,,,1,8,4753418,3078034,00927
1,1,1,1,29,,,,,,,,,,,,,,,,,1,8,5700157,1867830,09019
1,1,1,1,29,,,,,,,,,,,,,,,,,2,4,1984497,1283014,12134
1,1,1,1,29,,,,,,,,,,,,,,,,,2,4,4296395,3622765,13382
1,1,1,1,29,,,,,,,,,,,,,,,,,2,5,1862754,1070130,07192
1,1,1,1,29,,,,,,,,,,,,,,,,,2,5,3022308,1659756,05727
1,1,1,1,29,,,,,,,,,,,,,,,,,2,6,3381788,2292248,09191
1,1,1,1,29,,,,,,,,,,,,,,,,,2,6,3464325,1965974,09383
1,1,1,1,29,,,,,,,,,,,,,,,,,2,8,7606046,6219775,06122
1,1,1,1,29,,,,,,,,,,,,,,,,,3,2,2100152,2072289,13291
1,1,1,1,29,,,,,,,,,,,,,,,,,4,4,1234663,761318,06923
1,1,1,1,29,,,,,,,,,,,,,,,,,4,4,2294920,1802238,04534
1,1,1,1,29,,,,,,,,,,,,,,,,,4,4,2392932,2000088,01159
1,1,1,1,29,,,,,,,,,,,,,,,,,4,4,2683591,1677780,06733
1,1,1,1,29,,,,,,,,,,,,,,,,,4,5,2570215,1511461,00073
1,1,1,1,29,,,,,,,,,,,,,,,,,6,3,2291591,2273925,01141
1,1,1,1,29,,,,,,,,,,,,,,,,,6,4,2200970,1683123,09106
1,1,1,1,29,,,,,,,,,,,,,,,,,6,4,2432814,1956064,06789
1,1,1,1,29,,,,,,,,,,,,,,,,,6,5,1836031,1348011,03163
1,1,1,1,29,,,,,,,,,,,,,,,,,6,6,2380805,1242539,07209
1,1,1,1,30,,,,,,,,,,,,,,,,,1,2,1170830,1070413,10993
1,1,1,1,30,,,,,,,,,,,,,,,,,1,3,1315515,1121515,00333
1,1,1,1,30,,,,,,,,,,,,,,,,,1,3,1605377,1176898,00041
1,1,1,1,30,,,,,,,,,,,,,,,,,1,3,2840471,2348591,02601
1,1,1,1,30,,,,,,,,,,,,,,,,,1,4,1682767,1262447,04522
1,1,1,1,30,,,,,,,,,,,,,,,,,1,4,1910431,1021809,06027
1,1,1,1,30,,,,,,,,,,,,,,,,,1,4,1943080,1453491,08663
1,1,1,1,30,,,,,,,,,,,,,,,,,1,4,2003035,1485405,09456
1,1,1,1,30,,,,,,,,,,,,,,,,,1,4,2218652,1351957,11821
1,1,1,1,30,,,,,,,,,,,,,,,,,1,4,2651683,1845153,00932
1,1,1,1,30,,,,,,,,,,,,,,,,,1,4,3784252,3257142,05076
1,1,1,1,30,,,,,,,,,,,,,,,,,1,5,1680481,1065481,03138
1,1,1,1,30,,,,,,,,,,,,,,,,,1,5,2295258,1790072,08245
1,1,1,1,30,,,,,,,,,,,,,,,,,1,5,2441296,1793068,06064
1,1,1,1,30,,,,,,,,,,,,,,,,,1,5,3056687,2364894,04737
1,1,1,1,30,,,,,,,,,,,,,,,,,1,5,3508905,2593505,06037
1,1,1,1,30,,,,,,,,,,,,,,,,,1,6,2915384,2012015,05336
1,1,1,1,30,,,,,,,,,,,,,,,,,1,8,5741436,2455958,11407
1,1,1,1,30,,,,,,,,,,,,,,,,,2,3,1549651,1184041,04724
1,1,1,1,30,,,,,,,,,,,,,,,,,2,3,1839052,1816712,03878
1,1,1,1,30,,,,,,,,,,,,,,,,,2,4,2603389,2023539,09984
1,1,1,1,30,,,,,,,,,,,,,,,,,2,4,3379713,2976983,04235
1,1,1,1,30,,,,,,,,,,,,,,,,,2,5,2280704,1456514,04708
1,1,1,1,30,,,,,,,,,,,,,,,,,2,5,3730326,2774906,05781
1,1,1,1,30,,,,,,,,,,,,,,,,,4,1,1810109,1810109,01095
1,1,1,1,30,,,,,,,,,,,,,,,,,4,4,2673790,1710117,12434
1,1,1,1,30,,,,,,,,,,,,,,,,,4,5,2331635,1584245,00042
1,1,1,1,30,,,,,,,,,,,,,,,,,4,5,3320060,2600154,00506
1,1,1,1,30,,,,,,,,,,,,,,,,,6,5,1338936,955786,03164
1,1,1,1,30,,,,,,,,,,,,,,,,,6,5,2279237,1121117,01680
1,1,1,1,30,,,,,,,,,,,,,,,,,6,5,2768904,2012654,06229
1,1,1,1,30,,,,,,,,,,,,,,,,,6,5,2946016,2254416,01137
1,1,1,1,30,,,,,,,,,,,,,,,,,6,5,3021519,2292121,06228
1,1,1,1,30,,,,,,,,,,,,,,,,,6,6,5548922,3991882,01212
1,1,1,1,30,,,,,,,,,,,,,,,,,6,7,3698606,1752138,00939
1,1,1,1,30,,,,,,,,,,,,,,,,,6,7,3910843,2391433,00998
1,1,1,1,30,,,,,,,,,,,,,,,,,6,7,4421603,2866456,12107
1,1,1,1,30,,,,,,,,,,,,,,,,,6,8,2749877,995037,08616
1,1,1,1,30,,,,,,,,,,,,,,,,,6,8,3841130,1928873,04961
1,1,1,1,31,,,,,,,,,,,,,,,,,1,2,1536770,1512014,02603
1,1,1,1,31,,,,,,,,,,,,,,,,,1,2,2327874,2228972,04106
1,1,1,1,31,,,,,,,,,,,,,,,,,1,2,2419277,1611490,04364
1,1,1,1,31,,,,,,,,,,,,,,,,,1,3,1821343,1512800,09887
1,1,1,1,31,,,,,,,,,,,,,,,,,1,3,1967784,1584911,03142
1,1,1,1,31,,,,,,,,,,,,,,,,,1,3,2125182,1802542,03855
1,1,1,1,31,,,,,,,,,,,,,,,,,1,3,2180568,1774643,03684
1,1,1,1,31,,,,,,,,,,,,,,,,,1,3,2195524,1802421,04906
1,1,1,1,31,,,,,,,,,,,,,,,,,1,3,2759003,2188773,04079
1,1,1,1,31,,,,,,,,,,,,,,,,,1,4,1379015,988295,06233
1,1,1,1,31,,,,,,,,,,,,,,,,,1,4,1832292,1340541,05485
1,1,1,1,31,,,,,,,,,,,,,,,,,1,4,1910923,1163980,02613
1,1,1,1,31,,,,,,,,,,,,,,,,,1,4,2025297,1542552,05990
1,1,1,1,31,,,,,,,,,,,,,,,,,1,4,2131951,1502541,04583
1,1,1,1,31,,,,,,,,,,,,,,,,,1,4,2398709,1855691,06263
1,1,1,1,31,,,,,,,,,,,,,,,,,1,4,2795242,1668642,01030
1,1,1,1,31,,,,,,,,,,,,,,,,,1,5,2441715,1951655,00697
1,1,1,1,31,,,,,,,,,,,,,,,,,1,5,2731582,1996472,00716
1,1,1,1,31,,,,,,,,,,,,,,,,,1,6,3802641,2523837,06637
1,1,1,1,31,,,,,,,,,,,,,,,,,1,6,4119445,3035526,10090
1,1,1,1,31,,,,,,,,,,,,,,,,,1,8,4914083,2508812,00965
1,1,1,1,31,,,,,,,,,,,,,,,,,1,8,5616177,2946940,03139
1,1,1,1,31,,,,,,,,,,,,,,,,,2,4,2986428,1733548,00501
1,1,1,1,31,,,,,,,,,,,,,,,,,2,4,4840795,3110234,03217
1,1,1,1,31,,,,,,,,,,,,,,,,,2,5,2310552,650187,00591
1,1,1,1,31,,,,,,,,,,,,,,,,,2,5,2499711,1573026,11357
1,1,1,1,31,,,,,,,,,,,,,,,,,2,5,2596760,1919033,09385
1,1,1,1,31,,,,,,,,,,,,,,,,,2,5,2741998,1979685,04722
1,1,1,1,31,,,,,,,,,,,,,,,,,2,5,29544361,27071260,06539
1,1,1,1,31,,,,,,,,,,,,,,,,,2,5,3073590,2215254,00859
1,1,1,1,31,,,,,,,,,,,,,,,,,2,5,4095735,3286535,05382
1,1,1,1,31,,,,,,,,,,,,,,,,,2,6,2788392,1941604,07753
1,1,1,1,31,,,,,,,,,,,,,,,,,2,6,3981238,2783108,12248
1,1,1,1,31,,,,,,,,,,,,,,,,,2,6,4924224,3521697,02890
1,1,1,1,31,,,,,,,,,,,,,,,,,3,3,1138555,1011545,09959
1,1,1,1,31,,,,,,,,,,,,,,,,,4,3,1082740,782753,02555
1,1,1,1,31,,,,,,,,,,,,,,,,,4,3,1901175,1641928,03609
1,1,1,1,31,,,,,,,,,,,,,,,,,4,3,2625637,1747335,01193
1,1,1,1,31,,,,,,,,,,,,,,,,,6,2,839724,839724,04958
1,1,1,1,31,,,,,,,,,,,,,,,,,6,3,1573941,1063291,01684
1,1,1,1,31,,,,,,,,,,,,,,,,,6,4,2159066,903104,03332
1,1,1,1,31,,,,,,,,,,,,,,,,,6,4,2567145,1930548,01493
1,1,1,1,31,,,,,,,,,,,,,,,,,6,4,2644748,2111220,12605
1,1,1,1,31,,,,,,,,,,,,,,,,,6,4,2992868,1812854,01142
1,1,1,1,31,,,,,,,,,,,,,,,,,6,4,8617901,8147631,01127
1,1,1,1,31,,,,,,,,,,,,,,,,,6,5,2460554,1850094,00996
1,1,1,1,31,,,,,,,,,,,,,,,,,6,6,2639889,1487879,08614
1,1,1,1,31,,,,,,,,,,,,,,,,,6,8,3887347,2000101,12104
1,1,1,1,32,,,,,,,,,,,,,,,,,1,2,1270586,1091260,00781
1,1,1,1,32,,,,,,,,,,,,,,,,,1,3,1202627,961270,07664
1,1,1,1,32,,,,,,,,,,,,,,,,,1,3,2073803,1719937,11399
1,1,1,1,32,,,,,,,,,,,,,,,,,1,3,2308005,1887315,00334
1,1,1,1,32,,,,,,,,,,,,,,,,,1,3,2460323,2072795,12389
1,1,1,1,32,,,,,,,,,,,,,,,,,1,3,2935601,2329121,10108
1,1,1,1,32,,,,,,,,,,,,,,,,,1,4,1542148,1106998,04738
1,1,1,1,32,,,,,,,,,,,,,,,,,1,4,1798359,1450649,03475
1,1,1,1,32,,,,,,,,,,,,,,,,,1,4,1992640,1482937,07453
1,1,1,1,32,,,,,,,,,,,,,,,,,1,4,2058567,1738247,00928
1,1,1,1,32,,,,,,,,,,,,,,,,,1,4,2135840,1599957,11610
1,1,1,1,32,,,,,,,,,,,,,,,,,1,4,2605438,2065393,04523
1,1,1,1,32,,,,,,,,,,,,,,,,,1,4,3056964,1849605,08473
1,1,1,1,32,,,,,,,,,,,,,,,,,1,4,3078214,2416548,04835
1,1,1,1,32,,,,,,,,,,,,,,,,,1,5,1522594,926057,06853
1,1,1,1,32,,,,,,,,,,,,,,,,,1,5,2616030,1564280,04751
