id,성별,연령대,가구원수,소득구간
13074,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
1851,여성,50대,1인가구,저소득(월 300만원 미만)
4680,여성,50대,2인가구,중간소득(월 300~700만원 미만)
26447,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
2116,여성,60대,1인가구,저소득(월 300만원 미만)
16759,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
21988,남성,20대,3인가구 이상,저소득(월 300만원 미만)
12779,남성,70대 이상,3인가구 이상,중간소득(월 300~700만원 미만)
23412,남성,20대,3인가구 이상,저소득(월 300만원 미만)
23364,남성,20대,3인가구 이상,고소득(월 700만원 이상)
10988,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
12835,여성,40대,3인가구 이상,고소득(월 700만원 이상)
16061,여성,30대,3인가구 이상,고소득(월 700만원 이상)
6753,남성,40대,3인가구 이상,고소득(월 700만원 이상)
11722,여성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
507,남성,30대,1인가구,중간소득(월 300~700만원 미만)
9285,여성,70대 이상,1인가구,저소득(월 300만원 미만)
12261,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
11917,여성,40대,2인가구,중간소득(월 300~700만원 미만)
19988,여성,60대,2인가구,저소득(월 300만원 미만)
18841,여성,30대,2인가구,중간소득(월 300~700만원 미만)
808,남성,50대,1인가구,중간소득(월 300~700만원 미만)
13645,여성,30대,2인가구,고소득(월 700만원 이상)
16198,여성,30대,3인가구 이상,고소득(월 700만원 이상)
18742,남성,20대,2인가구,중간소득(월 300~700만원 미만)
3519,남성,60대,2인가구,중간소득(월 300~700만원 미만)
10139,남성,60대,2인가구,중간소득(월 300~700만원 미만)
6090,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
9027,여성,60대,1인가구,저소득(월 300만원 미만)
14900,여성,70대 이상,2인가구,저소득(월 300만원 미만)
18853,여성,50대,2인가구,고소득(월 700만원 이상)
17331,남성,50대,3인가구 이상,고소득(월 700만원 이상)
890,남성,50대,1인가구,저소득(월 300만원 미만)
9107,여성,70대 이상,1인가구,저소득(월 300만원 미만)
14404,여성,60대,2인가구,저소득(월 300만원 미만)
280,남성,30대,1인가구,중간소득(월 300~700만원 미만)
14468,여성,50대,2인가구,중간소득(월 300~700만원 미만)
19316,여성,60대,2인가구,고소득(월 700만원 이상)
25602,남성,20대,3인가구 이상,고소득(월 700만원 이상)
14188,여성,50대,2인가구,중간소득(월 300~700만원 미만)
6694,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
18208,여성,40대,3인가구 이상,고소득(월 700만원 이상)
10399,남성,60대,2인가구,고소득(월 700만원 이상)
20313,여성,70대 이상,2인가구,저소득(월 300만원 미만)
11316,남성,70대 이상,2인가구,저소득(월 300만원 미만)
10041,남성,60대,2인가구,중간소득(월 300~700만원 미만)
13768,여성,40대,2인가구,고소득(월 700만원 이상)
7456,여성,50대,3인가구 이상,고소득(월 700만원 이상)
14078,여성,50대,2인가구,고소득(월 700만원 이상)
18121,여성,40대,3인가구 이상,고소득(월 700만원 이상)
2309,여성,70대 이상,1인가구,저소득(월 300만원 미만)
20097,여성,70대 이상,2인가구,저소득(월 300만원 미만)
4944,남성,20대,3인가구 이상,중간소득(월 300~700만원 미만)
2868,남성,50대,2인가구,중간소득(월 300~700만원 미만)
11804,남성,50대,2인가구,중간소득(월 300~700만원 미만)
14107,여성,50대,2인가구,저소득(월 300만원 미만)
25675,남성,20대,3인가구 이상,고소득(월 700만원 이상)
10726,남성,70대 이상,2인가구,저소득(월 300만원 미만)
18544,여성,40대,3인가구 이상,고소득(월 700만원 이상)
2949,남성,50대,2인가구,중간소득(월 300~700만원 미만)
24749,남성,20대,3인가구 이상,고소득(월 700만원 이상)
15989,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
27608,남성,20대,3인가구 이상,고소득(월 700만원 이상)
1991,여성,60대,1인가구,저소득(월 300만원 미만)
13182,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
4891,여성,70대 이상,2인가구,저소득(월 300만원 미만)
3789,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
8046,남성,60대,1인가구,중간소득(월 300~700만원 미만)
16777,여성,50대,3인가구 이상,고소득(월 700만원 이상)
9314,여성,70대 이상,1인가구,저소득(월 300만원 미만)
19146,여성,50대,2인가구,중간소득(월 300~700만원 미만)
20686,남성,30대,2인가구,중간소득(월 300~700만원 미만)
1197,여성,20대,1인가구,저소득(월 300만원 미만)
18393,여성,60대,3인가구 이상,고소득(월 700만원 이상)
14308,여성,50대,2인가구,중간소득(월 300~700만원 미만)
16691,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
19604,여성,60대,2인가구,중간소득(월 300~700만원 미만)
5697,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
14560,여성,60대,2인가구,고소득(월 700만원 이상)
8235,남성,60대,1인가구,중간소득(월 300~700만원 미만)
2974,남성,50대,2인가구,고소득(월 700만원 이상)
12750,남성,70대 이상,3인가구 이상,중간소득(월 300~700만원 미만)
7151,남성,50대,3인가구 이상,고소득(월 700만원 이상)
14388,여성,60대,2인가구,중간소득(월 300~700만원 미만)
6977,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
18577,여성,40대,3인가구 이상,고소득(월 700만원 이상)
4618,여성,40대,2인가구,중간소득(월 300~700만원 미만)
5457,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
606,남성,40대,1인가구,중간소득(월 300~700만원 미만)
5968,남성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
9409,여성,70대 이상,1인가구,저소득(월 300만원 미만)
6933,남성,40대,3인가구 이상,고소득(월 700만원 이상)
23496,여성,20대,3인가구 이상,중간소득(월 300~700만원 미만)
20739,남성,60대,2인가구,중간소득(월 300~700만원 미만)
23312,남성,20대,3인가구 이상,중간소득(월 300~700만원 미만)
18905,여성,50대,2인가구,저소득(월 300만원 미만)
28785,여성,20대,3인가구 이상,고소득(월 700만원 이상)
5808,남성,50대,3인가구 이상,고소득(월 700만원 이상)
5010,남성,30대,3인가구 이상,고소득(월 700만원 이상)
12697,남성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
25853,여성,20대,3인가구 이상,저소득(월 300만원 미만)
3383,남성,60대,2인가구,중간소득(월 300~700만원 미만)
3325,남성,60대,2인가구,중간소득(월 300~700만원 미만)
1481,여성,30대,1인가구,저소득(월 300만원 미만)
23470,여성,20대,3인가구 이상,고소득(월 700만원 이상)
13916,여성,60대,2인가구,고소득(월 700만원 이상)
23466,여성,70대 이상,3인가구 이상,중간소득(월 300~700만원 미만)
22386,여성,50대,3인가구 이상,고소득(월 700만원 이상)
27713,여성,70대 이상,3인가구 이상,고소득(월 700만원 이상)
13691,여성,40대,2인가구,중간소득(월 300~700만원 미만)
5234,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
14390,여성,60대,2인가구,중간소득(월 300~700만원 미만)
4574,여성,40대,2인가구,중간소득(월 300~700만원 미만)
10113,남성,60대,2인가구,저소득(월 300만원 미만)
12967,여성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
5181,남성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
28755,여성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
12643,남성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
21798,여성,60대,3인가구 이상,고소득(월 700만원 이상)
156,남성,20대,1인가구,중간소득(월 300~700만원 미만)
10405,남성,60대,2인가구,저소득(월 300만원 미만)
21153,여성,30대,2인가구,저소득(월 300만원 미만)
21876,여성,70대 이상,3인가구 이상,저소득(월 300만원 미만)
19970,여성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
7269,남성,50대,3인가구 이상,고소득(월 700만원 이상)
9348,여성,70대 이상,1인가구,저소득(월 300만원 미만)
1627,여성,40대,1인가구,중간소득(월 300~700만원 미만)
14481,여성,60대,2인가구,중간소득(월 300~700만원 미만)
6297,여성,50대,3인가구 이상,고소득(월 700만원 이상)
3688,남성,70대 이상,2인가구,저소득(월 300만원 미만)
16788,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
1179,여성,20대,1인가구,저소득(월 300만원 미만)
22402,여성,60대,3인가구 이상,저소득(월 300만원 미만)
24970,여성,20대,3인가구 이상,고소득(월 700만원 이상)
12202,남성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
17689,여성,40대,3인가구 이상,고소득(월 700만원 이상)
966,남성,60대,1인가구,저소득(월 300만원 미만)
10448,남성,60대,2인가구,중간소득(월 300~700만원 미만)
20118,여성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
12883,여성,50대,3인가구 이상,저소득(월 300만원 미만)
14234,여성,60대,2인가구,중간소득(월 300~700만원 미만)
11079,남성,70대 이상,2인가구,저소득(월 300만원 미만)
19697,여성,60대,2인가구,저소득(월 300만원 미만)
14699,여성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
19104,여성,50대,2인가구,중간소득(월 300~700만원 미만)
3183,남성,60대,2인가구,중간소득(월 300~700만원 미만)
16807,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
14164,여성,50대,2인가구,중간소득(월 300~700만원 미만)
4175,여성,60대,2인가구,저소득(월 300만원 미만)
10478,남성,60대,2인가구,중간소득(월 300~700만원 미만)
12412,남성,50대,3인가구 이상,저소득(월 300만원 미만)
14447,여성,60대,2인가구,저소득(월 300만원 미만)
10843,남성,70대 이상,2인가구,고소득(월 700만원 이상)
16698,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
14189,여성,50대,2인가구,중간소득(월 300~700만원 미만)
21110,남성,20대,2인가구,고소득(월 700만원 이상)
9499,여성,70대 이상,1인가구,저소득(월 300만원 미만)
17365,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
15665,남성,20대,2인가구,중간소득(월 300~700만원 미만)
1932,여성,60대,1인가구,중간소득(월 300~700만원 미만)
1507,여성,30대,1인가구,저소득(월 300만원 미만)
18633,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
16736,여성,50대,3인가구 이상,고소득(월 700만원 이상)
16613,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
20002,여성,60대,2인가구,저소득(월 300만원 미만)
10088,남성,60대,2인가구,저소득(월 300만원 미만)
1838,여성,50대,1인가구,중간소득(월 300~700만원 미만)
19442,여성,50대,2인가구,고소득(월 700만원 이상)
2337,여성,70대 이상,1인가구,저소득(월 300만원 미만)
17055,여성,60대,3인가구 이상,고소득(월 700만원 이상)
8819,여성,60대,1인가구,저소득(월 300만원 미만)
18146,여성,50대,3인가구 이상,고소득(월 700만원 이상)
2556,남성,30대,2인가구,중간소득(월 300~700만원 미만)
7226,남성,50대,3인가구 이상,고소득(월 700만원 이상)
558,남성,40대,1인가구,중간소득(월 300~700만원 미만)
20065,여성,60대,2인가구,중간소득(월 300~700만원 미만)
7755,남성,20대,1인가구,중간소득(월 300~700만원 미만)
16103,여성,30대,3인가구 이상,고소득(월 700만원 이상)
441,남성,30대,1인가구,저소득(월 300만원 미만)
1955,여성,60대,1인가구,저소득(월 300만원 미만)
8604,여성,40대,1인가구,저소득(월 300만원 미만)
11412,남성,70대 이상,2인가구,저소득(월 300만원 미만)
12282,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
24969,남성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
5007,남성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
2541,남성,30대,2인가구,고소득(월 700만원 이상)
13084,남성,40대,3인가구 이상,고소득(월 700만원 이상)
8055,남성,60대,1인가구,저소득(월 300만원 미만)
23954,남성,30대,3인가구 이상,고소득(월 700만원 이상)
1520,여성,30대,1인가구,중간소득(월 300~700만원 미만)
18803,여성,30대,2인가구,중간소득(월 300~700만원 미만)
8579,여성,30대,1인가구,중간소득(월 300~700만원 미만)
19439,여성,50대,2인가구,고소득(월 700만원 이상)
4715,여성,50대,2인가구,중간소득(월 300~700만원 미만)
2233,여성,70대 이상,1인가구,저소득(월 300만원 미만)
12840,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
20352,여성,70대 이상,2인가구,저소득(월 300만원 미만)
10469,남성,60대,2인가구,저소득(월 300만원 미만)
18290,여성,50대,3인가구 이상,고소득(월 700만원 이상)
20571,여성,70대 이상,2인가구,저소득(월 300만원 미만)
27711,여성,70대 이상,3인가구 이상,고소득(월 700만원 이상)
9142,여성,70대 이상,1인가구,저소득(월 300만원 미만)
21523,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
19031,여성,50대,2인가구,중간소득(월 300~700만원 미만)
17951,여성,40대,3인가구 이상,고소득(월 700만원 이상)
4954,남성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
18376,여성,60대,3인가구 이상,고소득(월 700만원 이상)
4672,여성,50대,2인가구,중간소득(월 300~700만원 미만)
1901,여성,60대,1인가구,중간소득(월 300~700만원 미만)
3955,여성,30대,2인가구,중간소득(월 300~700만원 미만)
16681,여성,40대,3인가구 이상,고소득(월 700만원 이상)
702,남성,40대,1인가구,중간소득(월 300~700만원 미만)
1451,여성,30대,1인가구,저소득(월 300만원 미만)
23661,남성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
24972,남성,20대,3인가구 이상,고소득(월 700만원 이상)
19352,여성,50대,2인가구,고소득(월 700만원 이상)
9113,여성,70대 이상,1인가구,저소득(월 300만원 미만)
16083,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
8416,남성,70대 이상,1인가구,중간소득(월 300~700만원 미만)
7580,남성,50대,3인가구 이상,고소득(월 700만원 이상)
6973,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
20694,남성,40대,2인가구,중간소득(월 300~700만원 미만)
1093,남성,70대 이상,1인가구,저소득(월 300만원 미만)
1194,여성,20대,1인가구,저소득(월 300만원 미만)
28255,여성,70대 이상,3인가구 이상,고소득(월 700만원 이상)
21535,여성,20대,3인가구 이상,중간소득(월 300~700만원 미만)
5997,남성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
25266,여성,20대,3인가구 이상,중간소득(월 300~700만원 미만)
1072,남성,60대,1인가구,저소득(월 300만원 미만)
7937,남성,50대,1인가구,중간소득(월 300~700만원 미만)
21714,여성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
2924,남성,50대,2인가구,중간소득(월 300~700만원 미만)
10346,남성,60대,2인가구,중간소득(월 300~700만원 미만)
3318,남성,60대,2인가구,중간소득(월 300~700만원 미만)
9415,여성,70대 이상,1인가구,저소득(월 300만원 미만)
10858,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
21618,여성,50대,3인가구 이상,고소득(월 700만원 이상)
765,남성,50대,1인가구,저소득(월 300만원 미만)
1432,여성,30대,1인가구,저소득(월 300만원 미만)
13131,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
11047,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
6026,남성,60대,3인가구 이상,고소득(월 700만원 이상)
3890,남성,70대 이상,2인가구,저소득(월 300만원 미만)
22343,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
5591,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
7072,남성,50대,3인가구 이상,고소득(월 700만원 이상)
7268,남성,50대,3인가구 이상,고소득(월 700만원 이상)
4614,여성,40대,2인가구,중간소득(월 300~700만원 미만)
8619,여성,40대,1인가구,중간소득(월 300~700만원 미만)
14597,여성,60대,2인가구,중간소득(월 300~700만원 미만)
5048,남성,30대,3인가구 이상,고소득(월 700만원 이상)
3728,남성,70대 이상,2인가구,저소득(월 300만원 미만)
847,남성,50대,1인가구,저소득(월 300만원 미만)
5762,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
15648,여성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
646,남성,40대,1인가구,중간소득(월 300~700만원 미만)
14783,여성,60대,2인가구,저소득(월 300만원 미만)
15149,남성,60대,2인가구,중간소득(월 300~700만원 미만)
21578,여성,50대,3인가구 이상,저소득(월 300만원 미만)
17660,여성,30대,3인가구 이상,고소득(월 700만원 이상)
10517,남성,60대,2인가구,저소득(월 300만원 미만)
1005,남성,60대,1인가구,중간소득(월 300~700만원 미만)
7569,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
888,남성,50대,1인가구,저소득(월 300만원 미만)
15244,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
18686,여성,40대,3인가구 이상,고소득(월 700만원 이상)
7425,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
26548,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
20997,여성,30대,2인가구,저소득(월 300만원 미만)
23297,여성,20대,3인가구 이상,중간소득(월 300~700만원 미만)
11897,여성,20대,2인가구,중간소득(월 300~700만원 미만)
25954,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
4874,여성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
23559,여성,70대 이상,3인가구 이상,중간소득(월 300~700만원 미만)
2621,남성,30대,2인가구,중간소득(월 300~700만원 미만)
4334,남성,40대,2인가구,중간소득(월 300~700만원 미만)
7686,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
8488,여성,20대,1인가구,저소득(월 300만원 미만)
1918,여성,60대,1인가구,저소득(월 300만원 미만)
1359,여성,20대,1인가구,저소득(월 300만원 미만)
10312,남성,60대,2인가구,중간소득(월 300~700만원 미만)
1737,여성,50대,1인가구,고소득(월 700만원 이상)
15930,남성,40대,2인가구,중간소득(월 300~700만원 미만)
15477,여성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
8059,남성,60대,1인가구,저소득(월 300만원 미만)
20546,여성,70대 이상,2인가구,저소득(월 300만원 미만)
20569,여성,70대 이상,2인가구,저소득(월 300만원 미만)
24032,여성,20대,3인가구 이상,중간소득(월 300~700만원 미만)
11892,남성,70대 이상,2인가구,저소득(월 300만원 미만)
